code,company_name,sector,basis,first_year,last_year,company_number,match_basis,match_years
BA.,BAE SYSTEMS PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,2024,01470151,code_unique,1983-2024
BAA,BAA,Industrials,"GICS-style classification, reconstructed 2026-08-26",1987,2005,05757208,code_unique,1987-2005
BAB,Babcock International Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",2012,2016,02342138,code_unique,2012-2016
BARC,BARCLAYS PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00048839,code_unique,1983-2024
BASS,Bass,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2000,,unresolved_no_composition_record,
BATS,BRITISH AMERICAN TOBACCO PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2024,03407696,code_plus_year_overlap,1998-2024
BAW,Blue Arrow,Industrials,"GICS-style classification, reconstructed 2026-08-26",1987,1987,07767799,code_unique,1987-1987
BAY,British Airways,Industrials,"GICS-style classification, reconstructed 2026-08-26",1987,2010,01777777,code_unique,1987-2010
BBY,Bradford & Bingley,Financials,"GICS-style classification, reconstructed 2026-08-26",2002,2006,03938288,code_unique,2002-2006
BCH,Beecham Group,Health Care,"GICS-style classification, reconstructed 2026-08-26",1983,1988,00227531,code_unique,1983-1988
BCH.L,British & Commonwealth,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1988,,unresolved_no_composition_record,
BCL,Blue Circle Industries,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,2000,,unresolved_no_composition_record,
BDEV,Barratt Developments,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,2020,15998687,code_unique,1983-2020
BERI.L,Berisford (S & W),Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,1984,02707046,code_unique,1983-1984
BET,BET,Industrials,"GICS-style classification, reconstructed 2026-08-26",1985,1991,,unresolved_no_composition_record,
BET.L,British Elect. Traction Co.,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1984,,unresolved_no_composition_record,
BEZ,BEAZLEY PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2022,2024,09763575,code_unique,2022-2024
BG.,BG Group,Energy,"GICS-style classification, reconstructed 2026-08-26",2001,2015,03690065,code_unique,2001-2015
BGAS,British Gas,Utilities,"GICS-style classification, reconstructed 2026-08-26",1986,1996,08811254,code_unique,1986-1996
BGY,British Energy Group,Utilities,"GICS-style classification, reconstructed 2026-08-26",1997,2008,SC270184,code_unique,1997-2008
BHP,BHP Group Plc,Materials,"GICS-style classification, reconstructed 2026-08-26",2001,2021,03196209,code_unique,2018-2021
BHS,British Home Stores,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,1985,,unresolved_no_composition_record,
BI.,Brambles Industries,Industrials,"GICS-style classification, reconstructed 2026-08-26",2001,2005,,unresolved_no_composition_record,
BICC,BICC,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1991,16237399,code_unique,1983-1991
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2015,2024,05172586,code_unique,2015-2024
BLND,British Land Co,Real Estate,"GICS-style classification, reconstructed 2026-08-26",1997,2024,00621920,code_unique,1997-2024
BLT,Billiton,Materials,"GICS-style classification, reconstructed 2026-08-26",1997,2000,,unresolved_no_composition_record,
BME,B&M European Value Retail,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2021,2023,,unresolved_no_composition_record,
BMEB,B&M European Value Retail,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2020,2020,,unresolved_no_composition_record,
BNZL,BUNZL PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",1986,2024,00358948,code_unique,1986-2024
BOC,BOC,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,2005,00337663,code_unique,1983-2005
BOOT,Boots Group PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2005,,unresolved_no_composition_record,
BOS,Bank of Scotland,Financials,"GICS-style classification, reconstructed 2026-08-26",1985,2000,SC327000,code_unique,1985-2000
BP.,BP PLC,Energy,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00102498,code_unique,1983-2024
BPB,BPB Industries,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1990,00147271,code_unique,1983-1990
BPC,British Printing & Communications Corp,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1986,1986,,unresolved_no_composition_record,
BRBY,Burberry Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2009,2023,03458224,code_unique,2009-2023
BRIT,Britoil,Energy,"GICS-style classification, reconstructed 2026-08-26",1983,1987,SC077750,code_unique,1983-1987
BST,British Steel,Materials,"GICS-style classification, reconstructed 2026-08-26",1988,1997,12303256,code_unique,1988-1997
BSY,British Sky Broadcasting Group,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1995,2013,02247735,code_unique,1995-2013
BT-A,BT GROUP PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2021,2024,04190816,code_unique,2021-2024
BT.A,BT GROUP PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1984,2020,04190816,code_plus_year_overlap,1997-2020
BTR,BTR,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1998,,unresolved_no_composition_record,
BTRW,BARRATT REDROW PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2021,2024,15998687,code_plus_year_overlap,2021-2023
BUR,Burmah Castrol,Energy,"GICS-style classification, reconstructed 2026-08-26",1983,1996,06208775,code_unique,1986-1989
BWTR,Bowater,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1994,09876996,code_unique,1992-1994
CBRY,Cadbury Plc,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2009,06497379,code_unique,2008-2009
CCH,COCA-COLA HBC AG,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",2013,2024,,unresolved_no_composition_record,
CCL,Carnival,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2003,2019,14072248,code_unique,2003-2019
CCM,Carlton Communication,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1989,2000,00348312,code_unique,1989-2000
CGFD,Consolidated Gold Fields,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1988,,unresolved_no_composition_record,
CJR,CHARTERHOUSE J. ROTHSCHILD PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1984,1984,,unresolved_no_composition_record,
CKSN,Cookson Group plc,Industrials,"GICS-style classification, reconstructed 2026-08-26",1986,1995,16793203,code_unique,1986-1995
CMCS,Capital Shopping Centres Group,Real Estate,"GICS-style classification, reconstructed 2026-08-26",2010,2012,,unresolved_no_composition_record,
CMG,CMG,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1999,2000,00930965,code_unique,1999-2000
CNA,CENTRICA PLC,Utilities,"GICS-style classification, reconstructed 2026-08-26",1997,2024,03033654,code_unique,1997-2024
CNE,Cairn Energy,Energy,"GICS-style classification, reconstructed 2026-08-26",2004,2011,SC787001,code_unique,2004-2011
COA,Coats Viyella,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1986,1993,,unresolved_no_composition_record,
COB,Cobham,Industrials,"GICS-style classification, reconstructed 2026-08-26",2008,2009,00030470,code_unique,2008-2009
COLT,Colt Telecom Group,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1998,2000,,unresolved_no_composition_record,
CORU,Corus Group,Materials,"GICS-style classification, reconstructed 2026-08-26",1999,2006,03811373,code_unique,1999-2006
CPG,COMPASS GROUP PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1998,2024,04083914,code_unique,1998-2024
CPI,Capita Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",2000,2016,02081330,code_unique,2000-2016
CPW,Carphone Warehouse Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2007,2007,06534088,code_unique,2007-2007
CRDA,CRODA INTERNATIONAL PLC,Materials,"GICS-style classification, reconstructed 2026-08-26",2012,2024,00206132,code_unique,2012-2024
CRDN.L,MB-Caradon,Industrials,"GICS-style classification, reconstructed 2026-08-26",1992,1992,,unresolved_no_composition_record,
CRH,CRH,Materials,"GICS-style classification, reconstructed 2026-08-26",2011,2022,,unresolved_no_composition_record,
