code,company_name,sector,first_year,last_year,basis
CNA,CENTRICA PLC,Utilities,1997,2024,"GICS-style classification, reconstructed 2026-08-26"
CNE,Cairn Energy,Energy,2004,2011,"GICS-style classification, reconstructed 2026-08-26"
COA,Coats Viyella,Consumer Discretionary,1986,1993,"GICS-style classification, reconstructed 2026-08-26"
COB,Cobham,Industrials,2008,2009,"GICS-style classification, reconstructed 2026-08-26"
COLT,Colt Telecom Group,Communication Services,1998,2000,"GICS-style classification, reconstructed 2026-08-26"
CORU,Corus Group,Materials,1999,2006,"GICS-style classification, reconstructed 2026-08-26"
CPG,COMPASS GROUP PLC,Consumer Discretionary,1998,2024,"GICS-style classification, reconstructed 2026-08-26"
CPI,Capita Group,Industrials,2000,2016,"GICS-style classification, reconstructed 2026-08-26"
CPW,Carphone Warehouse Group,Consumer Discretionary,2007,2007,"GICS-style classification, reconstructed 2026-08-26"
CRDA,CRODA INTERNATIONAL PLC,Materials,2012,2024,"GICS-style classification, reconstructed 2026-08-26"
CRDN.L,MB-Caradon,Industrials,1992,1992,"GICS-style classification, reconstructed 2026-08-26"
CRH,CRH,Materials,2011,2022,"GICS-style classification, reconstructed 2026-08-26"
CRN,Caradon,Industrials,1993,1994,"GICS-style classification, reconstructed 2026-08-26"
CTE,Celltech Group,Health Care,2000,2001,"GICS-style classification, reconstructed 2026-08-26"
CTEC,CONVATEC GROUP PLC,Health Care,2016,2024,"GICS-style classification, reconstructed 2026-08-26"
CTLD,Coutaulds,Materials,1983,1995,"GICS-style classification, reconstructed 2026-08-26"
CU.L,Commercial Union Assurance,Financials,1983,1997,"GICS-style classification, reconstructed 2026-08-26"
CURY,Dixons Carphone,Consumer Discretionary,2014,2016,"GICS-style classification, reconstructed 2026-08-26"
CW.,Cable and Wireless,Communication Services,1983,2009,"GICS-style classification, reconstructed 2026-08-26"
CWG,Canary Wharf Group,Real Estate,2000,2002,"GICS-style classification, reconstructed 2026-08-26"
DCC,DCC PLC,Industrials,2015,2024,"GICS-style classification, reconstructed 2026-08-26"
DDT,Dimension Data Holdings,Information Technology,2000,2000,"GICS-style classification, reconstructed 2026-08-26"
DEE,Dee Corporation,Consumer Staples,1985,1988,"GICS-style classification, reconstructed 2026-08-26"
DGE,DIAGEO PLC,Consumer Staples,1997,2024,"GICS-style classification, reconstructed 2026-08-26"
DIST,Distillers Company,Consumer Staples,1983,1985,"GICS-style classification, reconstructed 2026-08-26"
DLAR,De La Rue plc,Industrials,1992,1994,"GICS-style classification, reconstructed 2026-08-26"
DLG,Direct Line Insurance Group,Financials,1983,2018,"GICS-style classification, reconstructed 2026-08-26"
DMGT,Daily Mail & General Trust,Communication Services,1999,2005,"GICS-style classification, reconstructed 2026-08-26"
DPH,Dechra Pharmaceuticals,Health Care,2021,2023,"GICS-style classification, reconstructed 2026-08-26"
DPLM,DIPLOMA PLC,Industrials,2023,2024,"GICS-style classification, reconstructed 2026-08-26"
DRX,Drax Group,Utilities,2006,2008,"GICS-style classification, reconstructed 2026-08-26"
DSG,Dixons Group,Consumer Discretionary,1985,2004,"GICS-style classification, reconstructed 2026-08-26"
DSGI,DSG International,Consumer Discretionary,2005,2006,"GICS-style classification, reconstructed 2026-08-26"
DWTY,Dowty Group,Industrials,1984,1984,"GICS-style classification, reconstructed 2026-08-26"
ECC,English China Clays,Materials,1983,1992,"GICS-style classification, reconstructed 2026-08-26"
ECM,Electrocomponents,Industrials,2000,2001,"GICS-style classification, reconstructed 2026-08-26"
EDIN,Edinburgh Investment Trust,Financials,1983,1983,"GICS-style classification, reconstructed 2026-08-26"
EDV,ENDEAVOUR MINING PLC,Materials,2022,2024,"GICS-style classification, reconstructed 2026-08-26"
ELY,Eastern Electricity,Utilities,1993,1994,"GICS-style classification, reconstructed 2026-08-26"
EMA,Emap,Communication Services,2002,2004,"GICS-style classification, reconstructed 2026-08-26"
EMG,Man Group,Financials,2001,2011,"GICS-style classification, reconstructed 2026-08-26"
EMI,EMI Group,Communication Services,1983,2001,"GICS-style classification, reconstructed 2026-08-26"
ENG,Energis,Communication Services,1999,2000,"GICS-style classification, reconstructed 2026-08-26"
ENRC,Eurasian Natural Resources Corporation,Materials,2008,2012,"GICS-style classification, reconstructed 2026-08-26"
ENT,ENTAIN PLC,Consumer Discretionary,2018,2024,"GICS-style classification, reconstructed 2026-08-26"
ESSR,Essar Energy,Energy,2010,2011,"GICS-style classification, reconstructed 2026-08-26"
EST,Eagle Star,Financials,1983,1983,"GICS-style classification, reconstructed 2026-08-26"
ETI,Enterprise Inns,Consumer Discretionary,2004,2007,"GICS-style classification, reconstructed 2026-08-26"
ETLN,Eurotunnel,Industrials,1991,1991,"GICS-style classification, reconstructed 2026-08-26"
ETP,Enterprise Oil,Energy,1984,2001,"GICS-style classification, reconstructed 2026-08-26"
EVR,Evraz,Materials,2011,2021,"GICS-style classification, reconstructed 2026-08-26"
EXCO,Exco International,Financials,1983,1985,"GICS-style classification, reconstructed 2026-08-26"
EXL,Exel,Industrials,2000,2004,"GICS-style classification, reconstructed 2026-08-26"
EXPN,EXPERIAN PLC,Industrials,2006,2024,"GICS-style classification, reconstructed 2026-08-26"
EZJ,EASYJET PLC,Industrials,2013,2024,"GICS-style classification, reconstructed 2026-08-26"
FCIT,F&C INVESTMENT TRUST PLC,Financials,1995,2024,"GICS-style classification, reconstructed 2026-08-26"
