code,company_name,sector,first_year,last_year,basis
RHM,Ranks Hovis McDougall,Consumer Staples,1986,1990,"GICS-style classification, reconstructed 2026-08-26"
RINS,Royal Insurance,Financials,1983,1995,"GICS-style classification, reconstructed 2026-08-26"
RIO,RIO TINTO PLC,Materials,1987,2024,"GICS-style classification, reconstructed 2026-08-26"
RKT,RECKITT BENCKISER GROUP PLC,Consumer Staples,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
RMC,RMC Group,Materials,1983,1996,"GICS-style classification, reconstructed 2026-08-26"
RMG,Royal Mail,Industrials,2013,2021,"GICS-style classification, reconstructed 2026-08-26"
RMV,RIGHTMOVE PLC,Communication Services,2018,2024,"GICS-style classification, reconstructed 2026-08-26"
RNK,The Rank Group,Consumer Discretionary,1983,1997,"GICS-style classification, reconstructed 2026-08-26"
ROW,Rowntree Mackintosh PLC,Consumer Staples,1983,1987,"GICS-style classification, reconstructed 2026-08-26"
RR,ROLLS ROYCE HOLDINGS PLC,Industrials,1987,2002,"GICS-style classification, reconstructed 2026-08-26"
RR.,ROLLS-ROYCE HOLDINGS PLC,Industrials,2003,2024,"GICS-style classification, reconstructed 2026-08-26"
RRS,Randgold Resources,Materials,2008,2017,"GICS-style classification, reconstructed 2026-08-26"
RS1,RS Group,Industrials,2021,2023,"GICS-style classification, reconstructed 2026-08-26"
RSA,RSA Insurance Group,Financials,1983,2020,"GICS-style classification, reconstructed 2026-08-26"
RSL,Resolution Plc,Financials,2006,2007,"GICS-style classification, reconstructed 2026-08-26"
RTK,Railtrack Group,Industrials,1996,2000,"GICS-style classification, reconstructed 2026-08-26"
RTM,Rothmans International,Consumer Staples,1987,1992,"GICS-style classification, reconstructed 2026-08-26"
RTO,RENTOKIL INITIAL PLC,Industrials,1991,2024,"GICS-style classification, reconstructed 2026-08-26"
RTR,Reuters,Communication Services,1984,2007,"GICS-style classification, reconstructed 2026-08-26"
RTZ,Rio Tinto-Zinc Corporation,Materials,1983,1986,"GICS-style classification, reconstructed 2026-08-26"
SAA,Saatchi & Saatchi,Communication Services,1986,1986,"GICS-style classification, reconstructed 2026-08-26"
SAB,SABMiller,Consumer Staples,1999,2015,"GICS-style classification, reconstructed 2026-08-26"
SB.,SmithKline Beecham,Health Care,1989,1999,"GICS-style classification, reconstructed 2026-08-26"
SBE,Siebe,Industrials,1989,1998,"GICS-style classification, reconstructed 2026-08-26"
SBRY,SAINSBURY(J) PLC,Consumer Staples,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
SCR,Securicor Plc,Industrials,1998,1998,"GICS-style classification, reconstructed 2026-08-26"
SDR,SCHRODERS PLC,Financials,1993,2024,"GICS-style classification, reconstructed 2026-08-26"
SED,Sedgwick Group,Financials,1983,1987,"GICS-style classification, reconstructed 2026-08-26"
SEMA,Sema Group,Information Technology,1999,1999,"GICS-style classification, reconstructed 2026-08-26"
SFW,Safeway,Consumer Staples,1996,2003,"GICS-style classification, reconstructed 2026-08-26"
SGC,Stagecoach Holdings,Industrials,1998,1998,"GICS-style classification, reconstructed 2026-08-26"
SGE,THE SAGE GROUP PLC,Information Technology,1999,2024,"GICS-style classification, reconstructed 2026-08-26"
SGRO,SEGRO PLC,Real Estate,2009,2024,"GICS-style classification, reconstructed 2026-08-26"
SHEL,SHELL PLC,Energy,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
SHP,Shire,Health Care,2000,2017,"GICS-style classification, reconstructed 2026-08-26"
SIX,Six Continents Hotel Group,Consumer Discretionary,2001,2002,"GICS-style classification, reconstructed 2026-08-26"
SKG,Smufit Kappa Group,Materials,2016,2023,"GICS-style classification, reconstructed 2026-08-26"
SKY,Sky,Communication Services,2014,2017,"GICS-style classification, reconstructed 2026-08-26"
SL.,Standard Life,Financials,2006,2016,"GICS-style classification, reconstructed 2026-08-26"
SLOU,Slough Estates,Real Estate,2006,2006,"GICS-style classification, reconstructed 2026-08-26"
SLP,Sun Life & Provincial Holdings,Financials,1983,1999,"GICS-style classification, reconstructed 2026-08-26"
SMDS,Smith (DS),Materials,2017,2024,"GICS-style classification, reconstructed 2026-08-26"
SMIN,SMITHS GROUP PLC,Industrials,1985,2024,"GICS-style classification, reconstructed 2026-08-26"
SMT,SCOTTISH MORTGAGE INV TST PLC,Financials,2017,2024,"GICS-style classification, reconstructed 2026-08-26"
SMWH,Smith (W.H.),Consumer Discretionary,1991,1992,"GICS-style classification, reconstructed 2026-08-26"
SN,Scottish & Newcastle Plc,Consumer Staples,1983,2007,"GICS-style classification, reconstructed 2026-08-26"
SN.,SMITH & NEPHEW PLC,Health Care,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
SPT,Spirent,Information Technology,2000,2000,"GICS-style classification, reconstructed 2026-08-26"
SPW,Scottish Power,Utilities,1991,2006,"GICS-style classification, reconstructed 2026-08-26"
SPX,SPIRAX GROUP PLC,Industrials,2018,2024,"GICS-style classification, reconstructed 2026-08-26"
SRP,Serco Group,Industrials,2008,2012,"GICS-style classification, reconstructed 2026-08-26"
SRS.L,Sears Holdings plc,Consumer Discretionary,1983,1994,"GICS-style classification, reconstructed 2026-08-26"
SSE,SSE PLC,Utilities,1992,2024,"GICS-style classification, reconstructed 2026-08-26"
STAN,STANDARD CHARTERED PLC,Financials,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
STC,STC PLC,Information Technology,1983,1990,"GICS-style classification, reconstructed 2026-08-26"
STH,Storehouse,Consumer Discretionary,1985,1988,"GICS-style classification, reconstructed 2026-08-26"
STJ,ST.JAMES'S PLACE PLC,Financials,2014,2024,"GICS-style classification, reconstructed 2026-08-26"
SVT,SEVERN TRENT PLC,Utilities,1990,2024,"GICS-style classification, reconstructed 2026-08-26"
TARM,Tarmac,Materials,1983,1991,"GICS-style classification, reconstructed 2026-08-26"
TATE,Tate & Lyle,Consumer Staples,1991,2013,"GICS-style classification, reconstructed 2026-08-26"
TCG,Thomas Cook Group,Consumer Discretionary,2007,2009,"GICS-style classification, reconstructed 2026-08-26"
TEG.L,The Energy Group,Utilities,1997,1997,"GICS-style classification, reconstructed 2026-08-26"
TI,TI Group,Industrials,1992,1996,"GICS-style classification, reconstructed 2026-08-26"
TLW,Tullow Oil,Energy,2007,2014,"GICS-style classification, reconstructed 2026-08-26"
TOMK,Tomkins,Industrials,1992,2003,"GICS-style classification, reconstructed 2026-08-26"
TPK,Travis Perkins,Industrials,2013,2015,"GICS-style classification, reconstructed 2026-08-26"
TRAF,Trafalgar House,Industrials,1983,1991,"GICS-style classification, reconstructed 2026-08-26"
TRI,Thomson Reuters,Industrials,2008,2008,"GICS-style classification, reconstructed 2026-08-26"
TSB,TSB Group,Financials,1987,1994,"GICS-style classification, reconstructed 2026-08-26"
TSCO,TESCO PLC,Consumer Staples,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
TT.,TUI Travel,Consumer Discretionary,2007,2013,"GICS-style classification, reconstructed 2026-08-26"
TUI,TUI AG,Consumer Discretionary,2014,2019,"GICS-style classification, reconstructed 2026-08-26"
TW.,TAYLOR WIMPEY PLC,Consumer Discretionary,2007,2024,"GICS-style classification, reconstructed 2026-08-26"
TW.L,Thames Water,Utilities,1990,1999,"GICS-style classification, reconstructed 2026-08-26"
TWOD,Taylor Woodrow,Consumer Discretionary,1989,1989,"GICS-style classification, reconstructed 2026-08-26"
TWT,Telewest Communications,Communication Services,1998,2000,"GICS-style classification, reconstructed 2026-08-26"
UB,United Biscuits,Consumer Staples,1983,1994,"GICS-style classification, reconstructed 2026-08-26"
UBM,United Business Media,Communication Services,2000,2000,"GICS-style classification, reconstructed 2026-08-26"
ULVR,UNILEVER PLC,Consumer Staples,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
UMA,Ultramar,Energy,1983,1990,"GICS-style classification, reconstructed 2026-08-26"
UNIG,Unigate,Consumer Staples,1986,1986,"GICS-style classification, reconstructed 2026-08-26"
UNM,United News & Media,Communication Services,1996,1999,"GICS-style classification, reconstructed 2026-08-26"
UTG,UNITE GROUP PLC,Real Estate,2022,2024,"GICS-style classification, reconstructed 2026-08-26"
UU.,UNITED UTILITIES GROUP PLC,Utilities,1990,2024,"GICS-style classification, reconstructed 2026-08-26"
VED,Vedanta Resources,Materials,2006,2012,"GICS-style classification, reconstructed 2026-08-26"
VOD,VODAFONE GROUP PLC,Communication Services,1991,2024,"GICS-style classification, reconstructed 2026-08-26"
WARB.L,Warburg SG Group,Financials,1993,1994,"GICS-style classification, reconstructed 2026-08-26"
WCG,Willis Corroon,Financials,1991,1991,"GICS-style classification, reconstructed 2026-08-26"
WEIR,WEIR GROUP PLC,Industrials,2010,2024,"GICS-style classification, reconstructed 2026-08-26"
WEL,Wellcome,Health Care,1986,1994,"GICS-style classification, reconstructed 2026-08-26"
WFC,Willis Faber,Financials,1984,1986,"GICS-style classification, reconstructed 2026-08-26"
WG,Wood Group (John),Energy,2012,2018,"GICS-style classification, reconstructed 2026-08-26"
WLMS,Williams,Industrials,1988,1998,"GICS-style classification, reconstructed 2026-08-26"
WLW,Woolwich,Financials,1997,1999,"GICS-style classification, reconstructed 2026-08-26"
WMH,William Hill,Consumer Discretionary,2004,2013,"GICS-style classification, reconstructed 2026-08-26"
WMP,Wimpey (George) & Co,Consumer Discretionary,1983,1983,"GICS-style classification, reconstructed 2026-08-26"
WOOL,Woolworths,Consumer Discretionary,1984,1988,"GICS-style classification, reconstructed 2026-08-26"
WOS,Wolseley,Industrials,1993,2016,"GICS-style classification, reconstructed 2026-08-26"
WPG,Worldpay Group,Financials,2015,2017,"GICS-style classification, reconstructed 2026-08-26"
WPP,WPP PLC,Communication Services,1998,2024,"GICS-style classification, reconstructed 2026-08-26"
WTB,WHITBREAD PLC,Consumer Discretionary,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
XTA,Xstrata,Materials,2002,2012,"GICS-style classification, reconstructed 2026-08-26"
YELL,Yell Group,Communication Services,2003,2007,"GICS-style classification, reconstructed 2026-08-26"
ZEN,Zeneca Group,Health Care,1993,1998,"GICS-style classification, reconstructed 2026-08-26"
