symbol,cik,fiscal_year,shares_outstanding,shares_source_url,market_cap,marketcap_source_url
BAX,0000010456,2025,,https://www.sec.gov/Archives/edgar/data/10456/000162828026007733/0001628280-26-007733-index.htm,9831905074,https://finance.yahoo.com/quote/BAX/history (month-end close 2025-12-01) x shares
BBT,0001108134,2025,,https://www.sec.gov/Archives/edgar/data/1108134/000162828026013247/0001628280-26-013247-index.htm,2210230258,https://finance.yahoo.com/quote/BBT/history (month-end close 2025-12-01) x shares
BBWI,0000701985,2025,,https://www.sec.gov/Archives/edgar/data/701985/000070198526000008/0000701985-26-000008-index.htm,7287094329,https://finance.yahoo.com/quote/BBWI/history (month-end close 2025-02-01) x shares
BBWI,0000701985,2026,,https://www.sec.gov/Archives/edgar/data/701985/000070198526000014/0000701985-26-000014-index.htm,4394047348,https://finance.yahoo.com/quote/BBWI/history (month-end close 2026-01-01) x shares
BBY,0000764478,2026,,https://www.sec.gov/Archives/edgar/data/764478/000076447826000009/0000764478-26-000009-index.htm,13613228444,https://finance.yahoo.com/quote/BBY/history (month-end close 2026-01-01) x shares
BBY,0000764478,2025,,https://www.sec.gov/Archives/edgar/data/764478/000076447825000007/0000764478-25-000007-index.htm,19004246635,https://finance.yahoo.com/quote/BBY/history (month-end close 2025-02-01) x shares
BC,0000014930,2025,,https://www.sec.gov/Archives/edgar/data/14930/000001493026000027/0000014930-26-000027-index.htm,4814536765,https://finance.yahoo.com/quote/BC/history (month-end close 2025-12-01) x shares
BCO,0000078890,2025,,https://www.sec.gov/Archives/edgar/data/78890/000007889026000010/0000078890-26-000010-index.htm,4803733448,https://finance.yahoo.com/quote/BCO/history (month-end close 2025-12-01) x shares
BDX,0000010795,2025,,https://www.sec.gov/Archives/edgar/data/10795/000001079525000099/0000010795-25-000099-index.htm,41998262318,https://finance.yahoo.com/quote/BDX/history (month-end close 2025-09-01) x shares
BEAM,0001745999,2025,,https://www.sec.gov/Archives/edgar/data/1745999/000119312526065194/0001193125-26-065194-index.htm,2823455041,https://finance.yahoo.com/quote/BEAM/history (month-end close 2025-12-01) x shares
BEN,0000038777,2025,,https://www.sec.gov/Archives/edgar/data/38777/000003877725000238/0000038777-25-000238-index.htm,12050049078,https://finance.yahoo.com/quote/BEN/history (month-end close 2025-09-01) x shares
BG,0001996862,2025,,https://www.sec.gov/Archives/edgar/data/1996862/000162828026009842/0001628280-26-009842-index.htm,17237789201,https://finance.yahoo.com/quote/BG/history (month-end close 2025-12-01) x shares
BHF,0001685040,2025,,https://www.sec.gov/Archives/edgar/data/1685040/000168504026000011/0001685040-26-000011-index.htm,3704957827,https://finance.yahoo.com/quote/BHF/history (month-end close 2025-12-01) x shares
BIIB,0000875045,2025,,https://www.sec.gov/Archives/edgar/data/875045/000087504526000013/0000875045-26-000013-index.htm,25828034149,https://finance.yahoo.com/quote/BIIB/history (month-end close 2025-12-01) x shares
BKNG,0001075531,2025,,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000009/0001075531-26-000009-index.htm,6784848668,https://finance.yahoo.com/quote/BKNG/history (month-end close 2025-12-01) x shares
BKR,0001701605,2022,,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000044/0001701605-23-000044-index.htm,29861259523,https://finance.yahoo.com/quote/BKR/history (month-end close 2022-12-01) x shares
BKR,0001701605,2025,,https://www.sec.gov/Archives/edgar/data/1701605/000170160526000007/0001701605-26-000007-index.htm,45004291570,https://finance.yahoo.com/quote/BKR/history (month-end close 2025-12-01) x shares
BLDR,0001316835,2025,,https://www.sec.gov/Archives/edgar/data/1316835/000119312526054643/0001193125-26-054643-index.htm,11380155482,https://finance.yahoo.com/quote/BLDR/history (month-end close 2025-12-01) x shares
BLK,0002012383,2025,,https://www.sec.gov/Archives/edgar/data/2012383/000095017025065838/0000950170-25-065838-index.htm,165823683276,https://finance.yahoo.com/quote/BLK/history (month-end close 2025-12-01) x shares
BMY,0000014272,2025,,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/0000014272-26-000004-index.htm,109847388851,https://finance.yahoo.com/quote/BMY/history (month-end close 2025-12-01) x shares
BNL,0001424182,2025,,https://www.sec.gov/Archives/edgar/data/1424182/000142418226000012/0001424182-26-000012-index.htm,3325025088,https://finance.yahoo.com/quote/BNL/history (month-end close 2025-12-01) x shares
BNY,0001390777,2025,,https://www.sec.gov/Archives/edgar/data/1390777/000139077726000033/0001390777-26-000033-index.htm,79743077318,https://finance.yahoo.com/quote/BNY/history (month-end close 2025-12-01) x shares
BR,0001383312,2025,,https://www.sec.gov/Archives/edgar/data/1383312/000162828025037656/0001628280-25-037656-index.htm,28465938497,https://finance.yahoo.com/quote/BR/history (month-end close 2025-06-01) x shares
BRK.B,0001067983,2010,,https://www.sec.gov/Archives/edgar/data/1067983/000119312511048914/0001193125-11-048914-index.htm,75563117,https://finance.yahoo.com/quote/BRK-B/history (month-end close 2010-12-01) x shares
BRK.B,0001067983,2009,,https://www.sec.gov/Archives/edgar/data/1067983/000119312510043450/0001193125-10-043450-index.htm,72539371,https://finance.yahoo.com/quote/BRK-B/history (month-end close 2009-12-01) x shares
BRK.B,0001067983,2011,,https://www.sec.gov/Archives/edgar/data/1067983/000115752311002891/0001157523-11-002891-index.htm,71835003,https://finance.yahoo.com/quote/BRK-B/history (month-end close 2011-12-01) x shares
BRO,0000079282,2025,,https://www.sec.gov/Archives/edgar/data/79282/000119312526046984/0001193125-26-046984-index.htm,27131474794,https://finance.yahoo.com/quote/BRO/history (month-end close 2025-12-01) x shares
BSX,0000885725,2025,,https://www.sec.gov/Archives/edgar/data/885725/000088572526000010/0000885725-26-000010-index.htm,141488475965,https://finance.yahoo.com/quote/BSX/history (month-end close 2025-12-01) x shares
BWA,0000908255,2025,,https://www.sec.gov/Archives/edgar/data/908255/000090825526000011/0000908255-26-000011-index.htm,9329617770,https://finance.yahoo.com/quote/BWA/history (month-end close 2025-12-01) x shares
BX,0001393818,2025,,https://www.sec.gov/Archives/edgar/data/1393818/000119312526082531/0001193125-26-082531-index.htm,114399738348,https://finance.yahoo.com/quote/BX/history (month-end close 2025-12-01) x shares
BXP,0001037540,2025,,https://www.sec.gov/Archives/edgar/data/1037540/000103754026000006/0001037540-26-000006-index.htm,10704293820,https://finance.yahoo.com/quote/BXP/history (month-end close 2025-12-01) x shares
C,0000831001,2025,,https://www.sec.gov/Archives/edgar/data/831001/000083100126000011/0000831001-26-000011-index.htm,204128039431,https://finance.yahoo.com/quote/C/history (month-end close 2025-12-01) x shares
CAG,0000023217,2025,,https://www.sec.gov/Archives/edgar/data/23217/000155837025009180/0001558370-25-009180-index.htm,10928669864,https://finance.yahoo.com/quote/CAG/history (month-end close 2025-05-01) x shares
CAH,0000721371,2025,,https://www.sec.gov/Archives/edgar/data/721371/000072137125000079/0000721371-25-000079-index.htm,40117332696,https://finance.yahoo.com/quote/CAH/history (month-end close 2025-06-01) x shares
CAL,0000014707,2025,,https://www.sec.gov/Archives/edgar/data/14707/000001470726000053/0000014707-26-000053-index.htm,546890577,https://finance.yahoo.com/quote/CAL/history (month-end close 2025-02-01) x shares
CAL,0000014707,2026,,https://www.sec.gov/Archives/edgar/data/14707/000001470725000059/0000014707-25-000059-index.htm,413560100,https://finance.yahoo.com/quote/CAL/history (month-end close 2026-01-01) x shares
CAR,0000723612,2025,,https://www.sec.gov/Archives/edgar/data/723612/000072361226000012/0000723612-26-000012-index.htm,4524390483,https://finance.yahoo.com/quote/CAR/history (month-end close 2025-12-01) x shares
CARR,0001783180,2025,,https://www.sec.gov/Archives/edgar/data/1783180/000178318026000008/0001783180-26-000008-index.htm,44165990852,https://finance.yahoo.com/quote/CARR/history (month-end close 2025-12-01) x shares
CASY,0000726958,2026,,https://www.sec.gov/Archives/edgar/data/726958/000072695826000046/0000726958-26-000046-index.htm,30423590949,https://finance.yahoo.com/quote/CASY/history (month-end close 2026-04-01) x shares
CASY,0000726958,2025,,https://www.sec.gov/Archives/edgar/data/726958/000072695825000065/0000726958-25-000065-index.htm,17199551715,https://finance.yahoo.com/quote/CASY/history (month-end close 2025-04-01) x shares
CAT,0000018230,2025,,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/0000018230-26-000008-index.htm,266549151611,https://finance.yahoo.com/quote/CAT/history (month-end close 2025-12-01) x shares
CB,0000896159,2025,,https://www.sec.gov/Archives/edgar/data/896159/000089615926000005/0000896159-26-000005-index.htm,121775661105,https://finance.yahoo.com/quote/CB/history (month-end close 2025-12-01) x shares
CBE,0001141982,2011,,https://www.sec.gov/Archives/edgar/data/1141982/000119312512070617/0001193125-12-070617-index.htm,8583170158,https://finance.yahoo.com/quote/CBE/history (month-end close 2011-12-01) x shares
CBE,0001141982,2009,,https://www.sec.gov/Archives/edgar/data/1141982/000095012310014528/0000950123-10-014528-index.htm,7127998774,https://finance.yahoo.com/quote/CBE/history (month-end close 2009-12-01) x shares
CBOE,0001374310,2025,,https://www.sec.gov/Archives/edgar/data/1374310/000162828026010013/0001628280-26-010013-index.htm,26271591696,https://finance.yahoo.com/quote/CBOE/history (month-end close 2025-12-01) x shares
CBRE,0001138118,2025,,https://www.sec.gov/Archives/edgar/data/1138118/000113811826000005/0001138118-26-000005-index.htm,47458541916,https://finance.yahoo.com/quote/CBRE/history (month-end close 2025-12-01) x shares
CCB,0001437958,2025,,https://www.sec.gov/Archives/edgar/data/1437958/000143795826000013/0001437958-26-000013-index.htm,1742795014,https://finance.yahoo.com/quote/CCB/history (month-end close 2025-12-01) x shares
CCI,0001051470,2025,,https://www.sec.gov/Archives/edgar/data/1051470/000105147026000016/0001051470-26-000016-index.htm,38753580845,https://finance.yahoo.com/quote/CCI/history (month-end close 2025-12-01) x shares
CCK,0001219601,2025,,https://www.sec.gov/Archives/edgar/data/1219601/000162828026012904/0001628280-26-012904-index.htm,11658847275,https://finance.yahoo.com/quote/CCK/history (month-end close 2025-12-01) x shares
CCL,0000815097,2025,,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/0000815097-26-000007-index.htm,31882297307,https://finance.yahoo.com/quote/CCL/history (month-end close 2025-11-01) x shares
CDNS,0000813672,2025,,https://www.sec.gov/Archives/edgar/data/813672/000081367226000016/0000813672-26-000016-index.htm,85225245919,https://finance.yahoo.com/quote/CDNS/history (month-end close 2025-12-01) x shares
CDNS,0000813672,2020,,https://www.sec.gov/Archives/edgar/data/813672/000081367221000009/0000813672-21-000009-index.htm,36375419690,https://finance.yahoo.com/quote/CDNS/history (month-end close 2021-01-01) x shares
