cik,fiscal_year,shares_sec,shares_url,revenue_url,net_income_url,total_assets_url
0001283699,2025,1101862739,https://www.sec.gov/Archives/edgar/data/1283699/000128369926000010/0001283699-26-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369926000010/0001283699-26-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369926000010/0001283699-26-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369926000010/0001283699-26-000010-index.htm
0001283699,2026,1082204717,https://www.sec.gov/Archives/edgar/data/1283699/000128369926000063/0001283699-26-000063-index.htm,,,
0001285785,2011,445654205,https://www.sec.gov/Archives/edgar/data/1285785/000119312510240904/0001193125-10-240904-index.htm,,https://www.sec.gov/Archives/edgar/data/1285785/000119312511191456/0001193125-11-191456-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000119312511191456/0001193125-11-191456-index.htm
0001285785,2012,425180205,https://www.sec.gov/Archives/edgar/data/1285785/000119312512304472/0001193125-12-304472-index.htm,,https://www.sec.gov/Archives/edgar/data/1285785/000119312512304472/0001193125-12-304472-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000119312512304472/0001193125-12-304472-index.htm
0001285785,2013,,,,https://www.sec.gov/Archives/edgar/data/1285785/000119312513292097/0001193125-13-292097-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000119312513292097/0001193125-13-292097-index.htm
0001285785,2014,,,,https://www.sec.gov/Archives/edgar/data/1285785/000161803415000005/0001618034-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803415000005/0001618034-15-000005-index.htm
0001285785,2015,,,,https://www.sec.gov/Archives/edgar/data/1285785/000161803416000025/0001618034-16-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803416000025/0001618034-16-000025-index.htm
0001285785,2016,350238549,https://www.sec.gov/Archives/edgar/data/1285785/000161803417000005/0001618034-17-000005-index.htm,,https://www.sec.gov/Archives/edgar/data/1285785/000161803417000005/0001618034-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803417000005/0001618034-17-000005-index.htm
0001285785,2017,385226223,https://www.sec.gov/Archives/edgar/data/1285785/000161803418000003/0001618034-18-000003-index.htm,,https://www.sec.gov/Archives/edgar/data/1285785/000161803418000003/0001618034-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803418000003/0001618034-18-000003-index.htm
0001285785,2018,385470499,https://www.sec.gov/Archives/edgar/data/1285785/000161803419000004/0001618034-19-000004-index.htm,,https://www.sec.gov/Archives/edgar/data/1285785/000161803419000004/0001618034-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803419000004/0001618034-19-000004-index.htm
