id,company_name,company_number,start_date,end_date,entry_type,exit_type,exit_name,source_url
229,Granada Group,00290076,1992-06-22,2000-07-27,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00290076
107,Royal Insurance,01516396,1992-06-22,1992-09-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01516396
538,HSBC Holdings,00617987,1992-07-13,,added,current,,https://find-and-update.company-information.service.gov.uk/company/00617987
118,Southern Electric,SC117119,1992-09-21,1993-06-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC117119
151,Royal Insurance,01516396,1992-12-21,1996-07-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01516396
540,Standard Chartered,00966425,1992-12-21,,added,current,,https://find-and-update.company-information.service.gov.uk/company/00966425
202,ASDA Group,01396513,1993-03-22,1999-07-28,added,removed,Asda Group Plc,https://find-and-update.company-information.service.gov.uk/company/01396513
198,Zeneca Group,02723534,1993-06-01,1999-04-06,added,removed,Zeneca,https://find-and-update.company-information.service.gov.uk/company/02723534
541,British Aerospace,01470151,1993-06-21,,added,current,,https://find-and-update.company-information.service.gov.uk/company/01470151
177,Wolseley,00029846,1993-06-21,1998-06-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00029846
233,Rolls Royce,01003142,1993-09-20,2000-09-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01003142
361,3i Group,01142830,1994-09-19,2009-03-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01142830
138,Fisons,00044687,1995-09-18,1995-10-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00044687
179,London and Scottish Marine,01008965,1995-09-18,1998-09-08,added,removed,London and Scottish Marine Oil,https://find-and-update.company-information.service.gov.uk/company/01008965
144,Midlands Electricity,02366928,1995-09-19,1995-12-18,added,removed,Midlands Electricity plc,https://find-and-update.company-information.service.gov.uk/company/02366928
160,Argos plc,01081551,1995-12-18,1997-03-24,added,removed,Argos,https://find-and-update.company-information.service.gov.uk/company/01081551
157,Pilkington plc,00041495,1995-12-18,1996-12-23,added,removed,Pilkington,https://find-and-update.company-information.service.gov.uk/company/00041495
203,Smiths Industries plc,00391027,1995-12-18,1999-09-20,added,removed,Smiths Industries,https://find-and-update.company-information.service.gov.uk/company/00391027
148,Greenalls Group plc,00014504,1996-01-31,1996-06-24,added,removed,Greenalls Group,https://find-and-update.company-information.service.gov.uk/company/00014504
