symbol,company_name,cik,sector,sub_industry,hq,founded,sp_entry_date,sp_exit_date
BLL,Ball Corporation,0000009389,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1880,1996-01-02,2022-05-10
BLS,,0000732713,Communication Services,,,,1996-01-02,2007-01-03
BMC,,0000835729,Information Technology,,,,1998-10-01,2013-09-11
BMET,,0000351346,Health Care,,,,1996-01-02,2007-07-12
BMS,,0000011199,Materials,,,,1996-01-02,2014-12-05
BMY,Bristol Myers Squibb,0000014272,Health Care,Pharmaceuticals,"New York City, New York",1989 (1887),1996-01-02,
BNI,,0000934612,Industrials,,,,1996-01-02,2010-02-16
BNL,"Broadstone Net Lease, Inc.",0001424182,Real Estate,,,,1996-01-02,1998-07-01
BNY,BNY Mellon,0001390777,Financials,Asset Management & Custody Banks,"New York City, New York",1784,2026-05-21,
BOL,,0000010427,Health Care,,,,1996-01-02,2007-10-29
BR,Broadridge Financial Solutions,0001383312,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",1962,1996-01-02,2006-04-03
BRCM,,0001054374,Information Technology,,,,2000-07-03,2016-02-01
BRK.B,Berkshire Hathaway,0001067983,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1839,2010-02-16,
BRL,,0000010081,Health Care,,,,2006-02-27,2008-12-23
BRO,Brown & Brown,0000079282,Financials,Insurance Brokers,"Daytona Beach, Florida",1939,2021-09-20,
BSC,,0000777001,Financials,,,,1998-07-01,2008-06-02
BSX,Boston Scientific,0000885725,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1979,1996-01-02,
BTUUQ,,0001064728,Energy,,,,2006-11-20,2014-09-22
BVSN,,0000920448,Information Technology,,,,2000-11-06,2001-09-04
BWA,BORGWARNER INC,0000908255,Consumer Discretionary,,,,2011-12-19,2025-03-24
BX,Blackstone Inc.,0001393818,Financials,Asset Management & Custody Banks,"New York City, New York",1985,2023-09-18,
BXLT,,0001620546,Health Care,,,,2015-07-01,2016-06-03
BXP,"BXP, Inc.",0001037540,Real Estate,Office REITs,"Boston, Massachusetts",1970,2006-04-03,
C,Citigroup,0000831001,Financials,Diversified Banks,"New York City, New York",1998,1996-01-02,
CA,,0000356028,Information Technology,,,,1996-01-02,2018-11-06
CAG,Conagra Brands,0000023217,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1919,1996-01-02,
CAH,Cardinal Health,0000721371,Health Care,Health Care Distributors,"Dublin, Ohio",1971,1997-05-27,
CAL,CALERES INC,0000014707,Consumer Discretionary,,,,1996-01-02,1996-07-22
CAM,,0000941548,Industrials,,,,2008-01-29,2016-04-04
CAR,"AVIS BUDGET GROUP, INC.",0000723612,Consumer Discretionary,,,,1996-01-02,2006-08-01
CARR,Carrier Global,0001783180,Industrials,Building Products,"Palm Beach Gardens, Florida","2020 (1915, United Technologies spinoff)",2020-04-03,
CASY,Casey's,0000726958,Consumer Staples,Food Retail,"Ankeny, Iowa",1967,2026-04-09,
CAT,Caterpillar Inc.,0000018230,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1925,1996-01-02,
CB,Chubb Limited,0000896159,Financials,Property & Casualty Insurance,"Zurich, Switzerland",1985,1996-01-02,
CBE,,0001141982,Information Technology,,,,1996-01-02,2012-12-03
CBH,,0000715096,Financials,,,,2006-06-06,2008-03-31
CBOE,Cboe Global Markets,0001374310,Financials,Financial Exchanges & Data,"Chicago, Illinois",1973,2017-03-01,
CBRE,CBRE Group,0001138118,Real Estate,Real Estate Services,"Dallas, Texas",1906,2006-11-10,
CBS,,0000813828,Communication Services,,,,1996-01-02,2025-08-08
CBSS,,0000018568,Financials,,,,2004-12-20,2007-09-07
CCB,COASTAL FINANCIAL CORP,0001437958,Financials,,,,1996-01-02,1996-02-12
CCE,,0001491675,Consumer Staples,,,,1998-10-08,2016-05-31
CCI,Crown Castle,0001051470,Real Estate,Telecom Tower REITs,"Houston, Texas",1994,1996-01-02,1998-10-08
