symbol,cik,fiscal_year,value,source_url
LVS,0001300514,2014,22207000000,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/0001300514-15-000005-index.htm
LVS,0001300514,2015,20863000000,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/0001300514-16-000023-index.htm
LVS,0001300514,2016,20469000000,https://www.sec.gov/Archives/edgar/data/1300514/000130051417000005/0001300514-17-000005-index.htm
LVS,0001300514,2017,20687000000,https://www.sec.gov/Archives/edgar/data/1300514/000130051418000022/0001300514-18-000022-index.htm
LVS,0001300514,2018,22547000000,https://www.sec.gov/Archives/edgar/data/1300514/000130051419000021/0001300514-19-000021-index.htm
KKR,0001404912,2011,40377645000,https://www.sec.gov/Archives/edgar/data/1404912/000104746912001497/0001047469-12-001497-index.htm
CE,0001306830,2007,8058000000,
CE,0001306830,2010,8281000000,https://www.sec.gov/Archives/edgar/data/1306830/000095012311012862/0000950123-11-012862-index.htm
CE,0001306830,2011,8518000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683012000015/0001306830-12-000015-index.htm
KRI,0000205520,2004,4222278000,
KRI,0000205520,2005,4603955000,
CE,0001306830,2012,9000000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683013000007/0001306830-13-000007-index.htm
CE,0001306830,2013,9018000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683014000011/0001306830-14-000011-index.htm
CE,0001306830,2014,8796000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683015000022/0001306830-15-000022-index.htm
CE,0001306830,2015,8586000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683016000212/0001306830-16-000212-index.htm
CE,0001306830,2016,8357000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683017000034/0001306830-17-000034-index.htm
CE,0001306830,2017,9538000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000030/0001306830-18-000030-index.htm
BLDR,0001316835,2010,412804000,
BLDR,0001316835,2011,493794000,https://www.sec.gov/Archives/edgar/data/1316835/000119312512094395/0001193125-12-094395-index.htm
BLDR,0001316835,2012,550841000,https://www.sec.gov/Archives/edgar/data/1316835/000119312513087218/0001193125-13-087218-index.htm
BLDR,0001316835,2013,515839000,https://www.sec.gov/Archives/edgar/data/1316835/000156459014000455/0001564590-14-000455-index.htm
BLDR,0001316835,2014,574065000,https://www.sec.gov/Archives/edgar/data/1316835/000156459015001235/0001564590-15-001235-index.htm
BLDR,0001316835,2015,2882038000,https://www.sec.gov/Archives/edgar/data/1316835/000156459016014562/0001564590-16-014562-index.htm
BLDR,0001316835,2016,2909887000,https://www.sec.gov/Archives/edgar/data/1316835/000156459017003114/0001564590-17-003114-index.htm
BLDR,0001316835,2017,3006124000,https://www.sec.gov/Archives/edgar/data/1316835/000156459018004035/0001564590-18-004035-index.htm
BLDR,0001316835,2018,2932309000,https://www.sec.gov/Archives/edgar/data/1316835/000156459019005770/0001564590-19-005770-index.htm
BLDR,0001316835,2019,3249490000,https://www.sec.gov/Archives/edgar/data/1316835/000156459020005717/0001564590-20-005717-index.htm
BLDR,0001316835,2020,4173671000,https://www.sec.gov/Archives/edgar/data/1316835/000156459021009308/0001564590-21-009308-index.htm
BLDR,0001316835,2021,10714343000,https://www.sec.gov/Archives/edgar/data/1316835/000156459022007980/0001564590-22-007980-index.htm
BLDR,0001316835,2022,10595160000,https://www.sec.gov/Archives/edgar/data/1316835/000095017023004939/0000950170-23-004939-index.htm
TSLA,0001318605,2015,8067939000,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/0001564590-16-013195-index.htm
TSLA,0001318605,2016,22664076000,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/0001564590-17-003118-index.htm
TSLA,0001318605,2017,28655372000,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/0001564590-18-002956-index.htm
TSLA,0001318605,2018,29740000000,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm
MZIAQ,0000716823,2001,1512300000,
MUR,0000717423,2001,3259099000000,
PLTR,0001321655,2019,1594025000,
PLTR,0001321655,2020,2690504000,https://www.sec.gov/Archives/edgar/data/1321655/000119312521060650/0001193125-21-060650-index.htm
PLTR,0001321655,2021,3247450000,https://www.sec.gov/Archives/edgar/data/1321655/000119312522050913/0001193125-22-050913-index.htm
FISV,0000798354,2016,9743000000,https://www.sec.gov/Archives/edgar/data/798354/000079835417000006/0000798354-17-000006-index.htm
CCE,0000804055,2002,24375000000,
CCE,0000804055,2004,26354000000,
CCE,0000804055,2005,25357000000,
PLTR,0001321655,2022,3461239000,https://www.sec.gov/Archives/edgar/data/1321655/000132165523000011/0001321655-23-000011-index.htm
PLTR,0001321655,2023,4522425000,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/0001321655-24-000022-index.htm
ODFL,0000878927,2009,1159278000,
FSH,0000880430,2000,1385000000,
EXPE,0001324424,2008,6218758000,https://data.sec.gov/api/xbrl/companyfacts/CIK0001324424.json
DVA,0000927066,2015,18514875000,https://www.sec.gov/Archives/edgar/data/927066/000092706618000030/
EXPE,0001324424,2009,5937156000,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/
SRE,0001032208,2009,28512000000,https://www.sec.gov/Archives/edgar/data/1032208/000008652112000012/
DUK,0001326160,2008,53077000000,
DUK,0001326160,2009,57040000000,https://www.sec.gov/Archives/edgar/data/1326160/000119312510043083/0001193125-10-043083-index.htm
DUK,0001326160,2010,59090000000,https://www.sec.gov/Archives/edgar/data/1326160/000119312511047229/0001193125-11-047229-index.htm
DUK,0001326160,2011,62526000000,https://www.sec.gov/Archives/edgar/data/1326160/000119312512085533/0001193125-12-085533-index.htm
DUK,0001326160,2012,113856000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000009/0001326160-13-000009-index.htm
DUK,0001326160,2013,114779000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616014000003/0001326160-14-000003-index.htm
DUK,0001326160,2014,120557000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/0001326160-15-000008-index.htm
QTRN,0000919623,2000,1961578000000,
QTRN,0000919623,2001,1947740000000,
HCBK,0000921847,2008,54145328000,
DVA,0000927066,2007,5602872000,
DUK,0001326160,2015,121156000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616016000221/0001326160-16-000221-index.htm
PVN,0001035713,2001,37658868000,
PVN,0001035713,2002,17795624000,
PXD,0001038357,2008,9161785000,
DUK,0001326160,2016,132761000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616017000016/0001326160-17-000016-index.htm
DUK,0001326160,2018,145392000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000057/0001326160-19-000057-index.htm
DUK,0001326160,2019,158838000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616020000034/0001326160-20-000034-index.htm
DUK,0001326160,2020,162388000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616021000063/0001326160-21-000063-index.htm
PWR,0001050915,2008,3558159000,
TPR,0001116132,2001,258711000,
AV,0001116521,2003,4057000000,
FSL,0001272547,2007,15103000000,
GTE,0001273441,2011,1626780000,https://www.sec.gov/Archives/edgar/data/1273441/000114036112010944/0001140361-12-010944-index.htm
GTE,0001273441,2012,1732875000,https://www.sec.gov/Archives/edgar/data/1273441/000127344113000012/0001273441-13-000012-index.htm
GTE,0001273441,2013,1904550000,https://www.sec.gov/Archives/edgar/data/1273441/000127344114000008/0001273441-14-000008-index.htm
GTE,0001273441,2014,1714050000,https://www.sec.gov/Archives/edgar/data/1273441/000127344115000011/0001273441-15-000011-index.htm
GTE,0001273441,2015,1146118000,https://www.sec.gov/Archives/edgar/data/1273441/000127344116000052/0001273441-16-000052-index.htm
GTE,0001273441,2016,1367896000,https://www.sec.gov/Archives/edgar/data/1273441/000127344117000011/0001273441-17-000011-index.htm
PANW,0001327567,2014,1478466000,https://www.sec.gov/Archives/edgar/data/1327567/000132756714000028/0001327567-14-000028-index.htm
PANW,0001327567,2015,1965200000,https://www.sec.gov/Archives/edgar/data/1327567/000132756715000027/0001327567-15-000027-index.htm
PANW,0001327567,2016,2858200000,https://www.sec.gov/Archives/edgar/data/1327567/000132756716000064/0001327567-16-000064-index.htm
PANW,0001327567,2017,3438300000,https://www.sec.gov/Archives/edgar/data/1327567/000132756717000027/0001327567-17-000027-index.htm
PANW,0001327567,2018,5948900000,https://www.sec.gov/Archives/edgar/data/1327567/000132756718000024/0001327567-18-000024-index.htm
PANW,0001327567,2019,6592200000,https://www.sec.gov/Archives/edgar/data/1327567/000132756719000032/0001327567-19-000032-index.htm
PANW,0001327567,2020,9065400000,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/0001327567-20-000032-index.htm
PANW,0001327567,2021,10241600000,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029-index.htm
PANW,0001327567,2022,12253600000,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/0001327567-22-000028-index.htm
WDAY,0001327811,2012,232638000,https://www.sec.gov/Archives/edgar/data/1327811/000119312513122351/0001193125-13-122351-index.htm
WDAY,0001327811,2013,959080000,https://www.sec.gov/Archives/edgar/data/1327811/000119312514124249/0001193125-14-124249-index.htm
WDAY,0001327811,2014,2176265000,
WDAY,0001327811,2015,2350090000,https://www.sec.gov/Archives/edgar/data/1327811/000132781115000006/0001327811-15-000006-index.htm
WDAY,0001327811,2016,2730094000,https://www.sec.gov/Archives/edgar/data/1327811/000132781116000032/0001327811-16-000032-index.htm
WDAY,0001327811,2017,3268282000,https://www.sec.gov/Archives/edgar/data/1327811/000132781117000008/0001327811-17-000008-index.htm
WDAY,0001327811,2018,4947424000,https://www.sec.gov/Archives/edgar/data/1327811/000132781118000009/0001327811-18-000009-index.htm
WDAY,0001327811,2019,5520746000,https://www.sec.gov/Archives/edgar/data/1327811/000132781119000038/0001327811-19-000038-index.htm
WDAY,0001327811,2020,6816365000,https://www.sec.gov/Archives/edgar/data/1327811/000132781120000022/0001327811-20-000022-index.htm
WDAY,0001327811,2021,8718411000,https://www.sec.gov/Archives/edgar/data/1327811/000132781121000020/0001327811-21-000020-index.htm
WDAY,0001327811,2022,10498505000,https://www.sec.gov/Archives/edgar/data/1327811/000132781122000030/0001327811-22-000030-index.htm
WDAY,0001327811,2023,13486000000,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000024/0001327811-23-000024-index.htm
WDAY,0001327811,2024,16452000000,https://www.sec.gov/Archives/edgar/data/1327811/000132781124000044/0001327811-24-000044-index.htm
LYV,0001335258,2010,5195560000,
LYV,0001335258,2011,5077344000,https://www.sec.gov/Archives/edgar/data/1335258/000119312512075895/0001193125-12-075895-index.htm
LYV,0001335258,2012,5290806000,https://www.sec.gov/Archives/edgar/data/1335258/000119312513077102/0001193125-13-077102-index.htm
LYV,0001335258,2013,5683521000,https://www.sec.gov/Archives/edgar/data/1335258/000133525814000027/0001335258-14-000027-index.htm
LYV,0001335258,2014,5968361000,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000026/0001335258-15-000026-index.htm
LYV,0001335258,2015,6156241000,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000167/0001335258-16-000167-index.htm
LYV,0001335258,2016,6764266000,https://www.sec.gov/Archives/edgar/data/1335258/000133525817000031/0001335258-17-000031-index.htm
LYV,0001335258,2017,7504263000,https://www.sec.gov/Archives/edgar/data/1335258/000133525818000023/0001335258-18-000023-index.htm
LYV,0001335258,2018,8496886000,https://www.sec.gov/Archives/edgar/data/1335258/000133525819000024/0001335258-19-000024-index.htm
UAA,0001336917,2009,545588000,
UAA,0001336917,2010,675378000,https://www.sec.gov/Archives/edgar/data/1336917/000119312511044799/0001193125-11-044799-index.htm
UAA,0001336917,2011,919210000,https://www.sec.gov/Archives/edgar/data/1336917/000119312512078826/0001193125-12-078826-index.htm
UAA,0001336917,2012,1157083000,https://www.sec.gov/Archives/edgar/data/1336917/000133691713000011/0001336917-13-000011-index.htm
UAA,0001336917,2013,1577741000,https://www.sec.gov/Archives/edgar/data/1336917/000133691714000008/0001336917-14-000008-index.htm
UAA,0001336917,2014,2095083000,https://www.sec.gov/Archives/edgar/data/1336917/000133691715000006/0001336917-15-000006-index.htm
UAA,0001336917,2015,2865970000,https://www.sec.gov/Archives/edgar/data/1336917/000133691716000064/0001336917-16-000064-index.htm
UAA,0001336917,2016,3644331000,https://www.sec.gov/Archives/edgar/data/1336917/000133691717000017/0001336917-17-000017-index.htm
UAA,0001336917,2017,4006367000,https://www.sec.gov/Archives/edgar/data/1336917/000133691718000009/0001336917-18-000009-index.htm
UAA,0001336917,2018,4245022000,https://www.sec.gov/Archives/edgar/data/1336917/000133691719000011/0001336917-19-000011-index.htm
UAA,0001336917,2019,4843531000,https://www.sec.gov/Archives/edgar/data/1336917/000133691720000010/0001336917-20-000010-index.htm
UAA,0001336917,2020,5030628000,https://www.sec.gov/Archives/edgar/data/1336917/000133691721000009/0001336917-21-000009-index.htm
UAA,0001336917,2021,4991396000,https://www.sec.gov/Archives/edgar/data/1336917/000133691722000010/0001336917-22-000010-index.htm
UAA,0001336917,2023,4827553000,https://www.sec.gov/Archives/edgar/data/1336917/000133691723000021/0001336917-23-000021-index.htm
UAA,0001336917,2024,4760734000,https://www.sec.gov/Archives/edgar/data/1336917/000133691724000073/0001336917-24-000073-index.htm
UAA,0001336917,2025,4300871000,https://www.sec.gov/Archives/edgar/data/1336917/000133691725000078/0001336917-25-000078-index.htm
UAA,0001336917,2026,4415694000,https://www.sec.gov/Archives/edgar/data/1336917/000133691726000073/0001336917-26-000073-index.htm
LDOS,0001336920,2014,4162000000,
LDOS,0001336920,2015,3281000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692015000010/0001336920-15-000010-index.htm
LDOS,0001336920,2016,9132000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692017000014/0001336920-17-000014-index.htm
