symbol,cik,fiscal_year,value,source_url
MBI,0000814585,2024,42000000,https://www.sec.gov/Archives/edgar/data/814585/000095017025029081/0000950170-25-029081-index.htm
MBI,0000814585,2025,80000000,https://www.sec.gov/Archives/edgar/data/814585/000119312526076834/0001193125-26-076834-index.htm
GE,0000040545,2025,45855000000,https://www.sec.gov/Archives/edgar/data/40545/000004054526000008/0000040545-26-000008-index.htm
SYY,0000096021,2001,21784497000,
CAL,0000014707,2010,2241968000,
AMP,0000820027,2008,7097000000,https://data.sec.gov/api/xbrl/companyfacts/CIK0000820027.json
UNP,0000100885,2007,16283000000,
UNP,0000100885,2008,17970000000,
UNP,0000100885,2009,14143000000,https://www.sec.gov/Archives/edgar/data/100885/000119312510023294/0001193125-10-023294-index.htm
UNP,0000100885,2010,16965000000,https://www.sec.gov/Archives/edgar/data/100885/000119312511024531/0001193125-11-024531-index.htm
UNP,0000100885,2011,19557000000,https://www.sec.gov/Archives/edgar/data/100885/000119312512038569/0001193125-12-038569-index.htm
CB,0000896159,2008,13632000000,
CAL,0000014707,2025,2722683000,https://www.sec.gov/Archives/edgar/data/14707/000001470726000053/0000014707-26-000053-index.htm
CAL,0000014707,2026,2757853000,
CAG,0000023217,2025,11612800000,https://www.sec.gov/Archives/edgar/data/23217/000155837025009180/0001558370-25-009180-index.htm
CAR,0000723612,2025,11652000000,https://www.sec.gov/Archives/edgar/data/723612/000072361226000012/0000723612-26-000012-index.htm
AEE,0001002910,2007,7562000000,
AEE,0001002910,2008,7869000000,
CB,0000896159,2009,15075000000,https://www.sec.gov/Archives/edgar/data/896159/000119312510040605/0001193125-10-040605-index.htm
CB,0000896159,2010,16006000000,https://www.sec.gov/Archives/edgar/data/896159/000119312511047473/0001193125-11-047473-index.htm
CB,0000896159,2011,16834000000,https://www.sec.gov/Archives/edgar/data/896159/000119312512078111/0001193125-12-078111-index.htm
CB,0000896159,2016,31469000000,https://www.sec.gov/Archives/edgar/data/896159/000089615917000004/0000896159-17-000004-index.htm
CB,0000896159,2017,32243000000,https://www.sec.gov/Archives/edgar/data/896159/000089615918000002/0000896159-18-000002-index.htm
CB,0000896159,2019,34186000000,https://www.sec.gov/Archives/edgar/data/896159/000089615920000003/0000896159-20-000003-index.htm
