company_number,ticker,fiscal_year,value,currency,source_url
13280545,EDV.L,2024,5513400000.0,USD,https://finance.yahoo.com/quote/EDV.L/financials
13280545,EDV.L,2025,5606800000.0,USD,https://finance.yahoo.com/quote/EDV.L/financials
03720393,EXPN.L,2023,10864000000.0,USD,https://finance.yahoo.com/quote/EXPN.L/financials
03720393,EXPN.L,2024,11712000000.0,USD,https://finance.yahoo.com/quote/EXPN.L/financials
03720393,EXPN.L,2025,12886000000.0,USD,https://finance.yahoo.com/quote/EXPN.L/financials
03720393,EXPN.L,2026,14290000000.0,USD,https://finance.yahoo.com/quote/EXPN.L/financials
,GLEN.L,2022,132583000000.0,USD,https://finance.yahoo.com/quote/GLEN.L/financials
,GLEN.L,2023,123869000000.0,USD,https://finance.yahoo.com/quote/GLEN.L/financials
,GLEN.L,2024,130460000000.0,USD,https://finance.yahoo.com/quote/GLEN.L/financials
,GLEN.L,2025,142199000000.0,USD,https://finance.yahoo.com/quote/GLEN.L/financials
03564138,AAL.L,2022,67407000000.0,USD,https://finance.yahoo.com/quote/AAL.L/financials
03564138,AAL.L,2023,66544000000.0,USD,https://finance.yahoo.com/quote/AAL.L/financials
03564138,AAL.L,2024,64866000000.0,USD,https://finance.yahoo.com/quote/AAL.L/financials
03564138,AAL.L,2025,55994000000.0,USD,https://finance.yahoo.com/quote/AAL.L/financials
01627889,ANTO.L,2022,18238300000.0,USD,https://finance.yahoo.com/quote/ANTO.L/financials
01627889,ANTO.L,2023,19647200000.0,USD,https://finance.yahoo.com/quote/ANTO.L/financials
01627889,ANTO.L,2024,22634900000.0,USD,https://finance.yahoo.com/quote/ANTO.L/financials
01627889,ANTO.L,2025,26418400000.0,USD,https://finance.yahoo.com/quote/ANTO.L/financials
00293262,ABF.L,2023,18844000000.0,GBP,https://finance.yahoo.com/quote/ABF.L/financials
00293262,ABF.L,2024,19014000000.0,GBP,https://finance.yahoo.com/quote/ABF.L/financials
00293262,ABF.L,2025,19291000000.0,GBP,https://finance.yahoo.com/quote/ABF.L/financials
02723534,AZN.L,2022,96483000000.0,USD,https://finance.yahoo.com/quote/AZN.L/financials
02723534,AZN.L,2023,101119000000.0,USD,https://finance.yahoo.com/quote/AZN.L/financials
02723534,AZN.L,2024,104035000000.0,USD,https://finance.yahoo.com/quote/AZN.L/financials
02723534,AZN.L,2025,114074000000.0,USD,https://finance.yahoo.com/quote/AZN.L/financials
02342138,BAB.L,2023,3309900000.0,GBP,https://finance.yahoo.com/quote/BAB.L/financials
02342138,BAB.L,2024,3503600000.0,GBP,https://finance.yahoo.com/quote/BAB.L/financials
02342138,BAB.L,2025,3690200000.0,GBP,https://finance.yahoo.com/quote/BAB.L/financials
02342138,BAB.L,2026,3930100000.0,GBP,https://finance.yahoo.com/quote/BAB.L/financials
09763575,BEZ.L,2022,11713000000.0,USD,https://finance.yahoo.com/quote/BEZ.L/financials
09763575,BEZ.L,2023,13665400000.0,USD,https://finance.yahoo.com/quote/BEZ.L/financials
09763575,BEZ.L,2024,15419000000.0,USD,https://finance.yahoo.com/quote/BEZ.L/financials
09763575,BEZ.L,2025,16193300000.0,USD,https://finance.yahoo.com/quote/BEZ.L/financials
03407696,BATS.L,2022,153546000000.0,GBP,https://finance.yahoo.com/quote/BATS.L/financials
03407696,BATS.L,2023,118716000000.0,GBP,https://finance.yahoo.com/quote/BATS.L/financials
03407696,BATS.L,2024,118899000000.0,GBP,https://finance.yahoo.com/quote/BATS.L/financials
03407696,BATS.L,2025,109290000000.0,GBP,https://finance.yahoo.com/quote/BATS.L/financials
00621920,BLND.L,2023,8290000000.0,GBP,https://finance.yahoo.com/quote/BLND.L/financials
00621920,BLND.L,2024,7974000000.0,GBP,https://finance.yahoo.com/quote/BLND.L/financials
00621920,BLND.L,2025,8875000000.0,GBP,https://finance.yahoo.com/quote/BLND.L/financials
00621920,BLND.L,2026,9360000000.0,GBP,https://finance.yahoo.com/quote/BLND.L/financials
00358948,BNZL.L,2022,8666800000.0,GBP,https://finance.yahoo.com/quote/BNZL.L/financials
00358948,BNZL.L,2023,8747200000.0,GBP,https://finance.yahoo.com/quote/BNZL.L/financials
00358948,BNZL.L,2024,9529200000.0,GBP,https://finance.yahoo.com/quote/BNZL.L/financials
00358948,BNZL.L,2025,8572200000.0,GBP,https://finance.yahoo.com/quote/BNZL.L/financials
03458224,BRBY.L,2023,3686000000.0,GBP,https://finance.yahoo.com/quote/BRBY.L/financials
03458224,BRBY.L,2024,3370000000.0,GBP,https://finance.yahoo.com/quote/BRBY.L/financials
03458224,BRBY.L,2025,3427000000.0,GBP,https://finance.yahoo.com/quote/BRBY.L/financials
03458224,BRBY.L,2026,3091000000.0,GBP,https://finance.yahoo.com/quote/BRBY.L/financials
03033654,CNA.L,2022,29038000000.0,GBP,https://finance.yahoo.com/quote/CNA.L/financials
03033654,CNA.L,2023,21366000000.0,GBP,https://finance.yahoo.com/quote/CNA.L/financials
03033654,CNA.L,2024,18733000000.0,GBP,https://finance.yahoo.com/quote/CNA.L/financials
03033654,CNA.L,2025,15415000000.0,GBP,https://finance.yahoo.com/quote/CNA.L/financials
09717350,CCEP.L,2022,29313000000.0,EUR,https://finance.yahoo.com/quote/CCEP.L/financials
09717350,CCEP.L,2023,29254000000.0,EUR,https://finance.yahoo.com/quote/CCEP.L/financials
09717350,CCEP.L,2024,31100000000.0,EUR,https://finance.yahoo.com/quote/CCEP.L/financials
09717350,CCEP.L,2025,29872000000.0,EUR,https://finance.yahoo.com/quote/CCEP.L/financials
04083914,CPG.L,2022,20928000000.0,USD,https://finance.yahoo.com/quote/CPG.L/financials
04083914,CPG.L,2023,21483000000.0,USD,https://finance.yahoo.com/quote/CPG.L/financials
04083914,CPG.L,2024,24349000000.0,USD,https://finance.yahoo.com/quote/CPG.L/financials
04083914,CPG.L,2025,26715000000.0,USD,https://finance.yahoo.com/quote/CPG.L/financials
10361298,CTEC.L,2022,3592000000.0,USD,https://finance.yahoo.com/quote/CTEC.L/financials
10361298,CTEC.L,2023,3713700000.0,USD,https://finance.yahoo.com/quote/CTEC.L/financials
10361298,CTEC.L,2024,3515000000.0,USD,https://finance.yahoo.com/quote/CTEC.L/financials
10361298,CTEC.L,2025,3781000000.0,USD,https://finance.yahoo.com/quote/CTEC.L/financials
06344120,FRES.L,2022,5914280000.0,USD,https://finance.yahoo.com/quote/FRES.L/financials
06344120,FRES.L,2023,5737606000.0,USD,https://finance.yahoo.com/quote/FRES.L/financials
06344120,FRES.L,2024,5880458000.0,USD,https://finance.yahoo.com/quote/FRES.L/financials
06344120,FRES.L,2025,7279268000.0,USD,https://finance.yahoo.com/quote/FRES.L/financials
02670969,GAW.L,2023,326800000.0,GBP,https://finance.yahoo.com/quote/GAW.L/financials
02670969,GAW.L,2024,351300000.0,GBP,https://finance.yahoo.com/quote/GAW.L/financials
02670969,GAW.L,2025,383000000.0,GBP,https://finance.yahoo.com/quote/GAW.L/financials
02670969,GAW.L,2026,466600000.0,GBP,https://finance.yahoo.com/quote/GAW.L/financials
00617987,HSBA.L,2022,2949286000000.0,USD,https://finance.yahoo.com/quote/HSBA.L/financials
00617987,HSBA.L,2023,3038677000000.0,USD,https://finance.yahoo.com/quote/HSBA.L/financials
00617987,HSBA.L,2024,3017048000000.0,USD,https://finance.yahoo.com/quote/HSBA.L/financials
00617987,HSBA.L,2025,3233034000000.0,USD,https://finance.yahoo.com/quote/HSBA.L/financials
13691224,HLN.L,2022,34815000000.0,GBP,https://finance.yahoo.com/quote/HLN.L/financials
13691224,HLN.L,2023,34055000000.0,GBP,https://finance.yahoo.com/quote/HLN.L/financials
13691224,HLN.L,2024,34315000000.0,GBP,https://finance.yahoo.com/quote/HLN.L/financials
13691224,HLN.L,2025,32630000000.0,GBP,https://finance.yahoo.com/quote/HLN.L/financials
02837811,HSX.L,2022,10363000000.0,USD,https://finance.yahoo.com/quote/HSX.L/financials
02837811,HSX.L,2023,11060500000.0,USD,https://finance.yahoo.com/quote/HSX.L/financials
02837811,HSX.L,2024,11240800000.0,USD,https://finance.yahoo.com/quote/HSX.L/financials
02837811,HSX.L,2025,12189200000.0,USD,https://finance.yahoo.com/quote/HSX.L/financials
04677092,IGG.L,2022,3126100000.0,GBP,https://finance.yahoo.com/quote/IGG.L/financials
04677092,IGG.L,2023,2995200000.0,GBP,https://finance.yahoo.com/quote/IGG.L/financials
04677092,IGG.L,2024,2940900000.0,GBP,https://finance.yahoo.com/quote/IGG.L/financials
04677092,IGG.L,2025,3064400000.0,GBP,https://finance.yahoo.com/quote/IGG.L/financials
00714275,IMI.L,2022,2529800000.0,GBP,https://finance.yahoo.com/quote/IMI.L/financials
00714275,IMI.L,2023,2470400000.0,GBP,https://finance.yahoo.com/quote/IMI.L/financials
00714275,IMI.L,2024,2490500000.0,GBP,https://finance.yahoo.com/quote/IMI.L/financials
00714275,IMI.L,2025,2480100000.0,GBP,https://finance.yahoo.com/quote/IMI.L/financials
00511276,IMB.L,2022,30958000000.0,GBP,https://finance.yahoo.com/quote/IMB.L/financials
00511276,IMB.L,2023,29491000000.0,GBP,https://finance.yahoo.com/quote/IMB.L/financials
00511276,IMB.L,2024,27826000000.0,GBP,https://finance.yahoo.com/quote/IMB.L/financials
00511276,IMB.L,2025,28715000000.0,GBP,https://finance.yahoo.com/quote/IMB.L/financials
08860726,INF.L,2022,12145700000.0,GBP,https://finance.yahoo.com/quote/INF.L/financials
08860726,INF.L,2023,11524200000.0,GBP,https://finance.yahoo.com/quote/INF.L/financials
08860726,INF.L,2024,13690700000.0,GBP,https://finance.yahoo.com/quote/INF.L/financials
08860726,INF.L,2025,12324800000.0,GBP,https://finance.yahoo.com/quote/INF.L/financials
04267576,ITRK.L,2022,3660300000.0,GBP,https://finance.yahoo.com/quote/ITRK.L/financials
04267576,ITRK.L,2023,3537900000.0,GBP,https://finance.yahoo.com/quote/ITRK.L/financials
04267576,ITRK.L,2024,3599300000.0,GBP,https://finance.yahoo.com/quote/ITRK.L/financials
04267576,ITRK.L,2025,3761500000.0,GBP,https://finance.yahoo.com/quote/ITRK.L/financials
03633621,INVP.L,2023,58127391000.0,GBP,https://finance.yahoo.com/quote/INVP.L/financials
03633621,INVP.L,2024,56911899000.0,GBP,https://finance.yahoo.com/quote/INVP.L/financials
03633621,INVP.L,2025,58276386000.0,GBP,https://finance.yahoo.com/quote/INVP.L/financials
03633621,INVP.L,2026,63833640000.0,GBP,https://finance.yahoo.com/quote/INVP.L/financials
01888425,JD.L,2023,8110600000.0,GBP,https://finance.yahoo.com/quote/JD.L/financials
01888425,JD.L,2024,8048000000.0,GBP,https://finance.yahoo.com/quote/JD.L/financials
01888425,JD.L,2025,9959000000.0,GBP,https://finance.yahoo.com/quote/JD.L/financials
01888425,JD.L,2026,9791000000.0,GBP,https://finance.yahoo.com/quote/JD.L/financials
01664812,KGF.L,2023,12103000000.0,GBP,https://finance.yahoo.com/quote/KGF.L/financials
01664812,KGF.L,2024,11900000000.0,GBP,https://finance.yahoo.com/quote/KGF.L/financials
01664812,KGF.L,2025,11443000000.0,GBP,https://finance.yahoo.com/quote/KGF.L/financials
01664812,KGF.L,2026,11398000000.0,GBP,https://finance.yahoo.com/quote/KGF.L/financials
10917019,BGEO.L,2022,28901900000.0,GEL,https://finance.yahoo.com/quote/BGEO.L/financials
10917019,BGEO.L,2023,31757558000.0,GEL,https://finance.yahoo.com/quote/BGEO.L/financials
10917019,BGEO.L,2024,52207888000.0,GEL,https://finance.yahoo.com/quote/BGEO.L/financials
10917019,BGEO.L,2025,60869856000.0,GEL,https://finance.yahoo.com/quote/BGEO.L/financials
05369106,LSEG.L,2022,835156000000.0,GBP,https://finance.yahoo.com/quote/LSEG.L/financials
05369106,LSEG.L,2023,805010000000.0,GBP,https://finance.yahoo.com/quote/LSEG.L/financials
05369106,LSEG.L,2024,732819000000.0,GBP,https://finance.yahoo.com/quote/LSEG.L/financials
05369106,LSEG.L,2025,796704000000.0,GBP,https://finance.yahoo.com/quote/LSEG.L/financials
07124797,LMP.L,2023,3078000000.0,GBP,https://finance.yahoo.com/quote/LMP.L/financials
07124797,LMP.L,2024,6478600000.0,GBP,https://finance.yahoo.com/quote/LMP.L/financials
07124797,LMP.L,2025,6607600000.0,GBP,https://finance.yahoo.com/quote/LMP.L/financials
07124797,LMP.L,2026,8156100000.0,GBP,https://finance.yahoo.com/quote/LMP.L/financials
04256886,MKS.L,2023,9097800000.0,GBP,https://finance.yahoo.com/quote/MKS.L/financials
04256886,MKS.L,2024,8682200000.0,GBP,https://finance.yahoo.com/quote/MKS.L/financials
04256886,MKS.L,2025,8821400000.0,GBP,https://finance.yahoo.com/quote/MKS.L/financials
04256886,MKS.L,2026,10114800000.0,GBP,https://finance.yahoo.com/quote/MKS.L/financials
09800044,MRO.L,2022,14179000000.0,GBP,https://finance.yahoo.com/quote/MRO.L/financials
09800044,MRO.L,2023,7104000000.0,GBP,https://finance.yahoo.com/quote/MRO.L/financials
